Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events
Ukraine,Kharkiv,Krasnohradskyi,UKR,UA6306,UA63,March,2018,0
Ukraine,Kherson,Henicheskyi,UKR,UA6504,UA65,March,2018,3
Ukraine,Khmelnytskyi,Kamianets-Podilskyi,UKR,UA6802,UA68,March,2018,0
Ukraine,Khmelnytskyi,Khmelnytskyi,UKR,UA6804,UA68,March,2018,1
Ukraine,Kirovograd,Novoukrainskyi,UKR,UA3506,UA35,March,2018,0
Ukraine,Kyiv,Bilotserkivskyi,UKR,UA3202,UA32,March,2018,1
Ukraine,Kyiv,Obukhivskyi,UKR,UA3212,UA32,March,2018,1
Ukraine,Luhansk,Dovzhanskyi,UKR,UA4404,UA44,March,2018,0
Ukraine,Luhansk,Luhanskyi,UKR,UA4406,UA44,March,2018,0
Ukraine,Luhansk,Shchastynskyi,UKR,UA4416,UA44,March,2018,0
Ukraine,Lviv,Drohobytskyi,UKR,UA4602,UA46,March,2018,0
Ukraine,Lviv,Sambirskyi,UKR,UA4608,UA46,March,2018,0
Ukraine,Lviv,Yavorivskyi,UKR,UA4614,UA46,March,2018,0
Ukraine,Lviv,Zolochivskyi,UKR,UA4604,UA46,March,2018,0
Ukraine,Rivne,Rivnenskyi,UKR,UA5606,UA56,March,2018,2
Ukraine,Sumy,Okhtyrskyi,UKR,UA5904,UA59,March,2018,0
Ukraine,Vinnytsia,Haisynskyi,UKR,UA0504,UA05,March,2018,0
Ukraine,Volyn,Kovelskyi,UKR,UA0706,UA07,March,2018,0
Ukraine,Zakarpattia,Berehivskyi,UKR,UA2102,UA21,March,2018,1
