iso2c,iso3c,country,date,inflazione,crescita_pil,periodo
DK,DNK,Denmark,2013,0.789071780078062,1.39267343161971,NA
DK,DNK,Denmark,2014,0.56402054044954,1.27799983192831,Pre-guerra
DK,DNK,Denmark,2015,0.452034153691574,2.10441456445301,Pre-guerra
DK,DNK,Denmark,2016,0.250000000000031,3.07304549209093,Pre-guerra
DK,DNK,Denmark,2017,1.14713216957601,3.05647723922718,Pre-guerra
DK,DNK,Denmark,2018,0.813609467455631,1.8600074900921,Pre-guerra
DK,DNK,Denmark,2019,0.75813157251162,1.71140093932736,Pre-guerra
DK,DNK,Denmark,2020,0.420711974110024,-1.78010601831291,Pre-guerra
DK,DNK,Denmark,2021,1.85304543989689,6.50025445756295,Pre-guerra
DK,DNK,Denmark,2022,7.69656699889259,0.443832614908331,Post-guerra
DK,DNK,Denmark,2023,3.30517811237605,0.604587766175584,Post-guerra
DK,DNK,Denmark,2024,1.37220049768925,3.47783593140312,Post-guerra
ES,ESP,Spain,2010,1.79986457728768,0.0941223116369514,NA
ES,ESP,Spain,2011,3.1961018883379,-0.639920636520344,NA
ES,ESP,Spain,2012,2.44612782366808,-2.86511368637748,NA
ES,ESP,Spain,2013,1.40858109183018,-1.42732224757626,NA
ES,ESP,Spain,2014,-0.151114837527234,1.52048593647231,Pre-guerra
ES,ESP,Spain,2015,-0.500365709903242,4.06086672473866,Pre-guerra
ES,ESP,Spain,2016,-0.202598000426452,2.91515598595787,Pre-guerra
ES,ESP,Spain,2017,1.95607633363963,2.89604207865007,Pre-guerra
ES,ESP,Spain,2018,1.6749813686379,2.39541124478878,Pre-guerra
ES,ESP,Spain,2019,0.699518994458738,1.96117850841711,Pre-guerra
ES,ESP,Spain,2020,-0.322753017299739,-10.9400706350371,Pre-guerra
ES,ESP,Spain,2021,3.09313511976419,6.68314420473001,Pre-guerra
ES,ESP,Spain,2022,8.39057634118626,6.37031712129601,Post-guerra
ES,ESP,Spain,2023,3.53236133492432,2.46085796805582,Post-guerra
ES,ESP,Spain,2024,2.77417826534772,3.45525405630191,Post-guerra
EE,EST,Estonia,2010,2.97204512015693,2.4497502063999,NA
EE,EST,Estonia,2011,4.9819013145361,7.60697458913162,NA
